1.9,上海-静安区,Python开发工程师
1.7,上海,项目研发经理（python平台）
1.4,深圳-福田区,Python数据工程师
1.1,北京,Python开发工程师
1.1,广州-黄埔区,Python开发工程师
1.6,上海-浦东新区,Python开发工程师
1.1,上海-浦东新区,Python软件开发工程师
2.3,深圳,Python高级开发工程师
1.4,北京,Python培训讲师
0.7,上海-浦东新区,交易系统API编程及后台开发人员（熟悉Python优先）
1.0,上海,Python/Odoo开发工程师
1.2,上海-徐汇区,python开发工程师
0.8,上海-静安区,Python开发工程师/服务器开发工程师
1.4,上海-徐汇区,python 算法工程师
0.9,广州-黄埔区,Python开发工程师
0.8,广州-黄埔区,少儿编程讲师（Python）
1.7,北京-朝阳区,Python后台开发工程师
1.4,异地招聘,Python工程师（广州）
1.9,上海-浦东新区,高级Python Web 开发工程师（上海）
1.1,上海-浦东新区,python爬虫工程师
2.3,上海-徐汇区,erlang/python服务器开发工程师
1.0,广州-海珠区,Python高级开发工程师
1.7,上海,Python开发工程师
1.4,上海,Python开发工程师
1.4,上海-长宁区,Python开发工程师
1.2,上海-黄浦区,技术顾问（Python）
1.7,北京-海淀区,服务端开发工程师-Python
1.2,深圳-福田区,Python爬虫工程师
1.7,上海,高级Python开发工程师
2.7,北京-朝阳区,Python高级开发工程师
0.9,上海-长宁区,Python开发工程师
2.4,上海-闵行区,Python工程师
1.8,深圳,Python后端工程师
3.8,北京-朝阳区,Python开发工程师
1.5,广州,Python开发工程师
1.2,上海-徐汇区,Python
2.1,上海-闵行区,Python测试开发工程师
1.1,广州-越秀区,Python工程师/人工智能工程师
1.7,广州-天河区,Python系统架构师
2.1,北京-海淀区,Python开发工程师
0.9,广州-天河区,Python开发工程师
2.1,广州-海珠区,Python爬虫工程师
1.2,广州-增城,Python实施人员
1.5,异地招聘,Python 工程师
1.3,北京-海淀区,Python 工程师
2.4,深圳,资深Python工程师（深圳）
1.3,广州-天河区,Python 高级开发工程师
1.1,广州-天河区,Python开发工程师（年终奖+六险一金）
2.7,上海,Python开发工程师
1.2,广州-天河区,AI后台服务开发(Python)
1.7,上海-浦东新区,Python开发工程师（参与公司内部开发或外派外企开发）
2.4,上海-静安区,高级Python 爬虫开发工程师
1.0,上海-浦东新区,python开发工程师（初级）
1.1,上海-浦东新区,python开发工程师（初级）
2.1,深圳-龙华新区,资深Python开发工程师
1.4,上海-浦东新区,Python开发工程师
1.5,广州-天河区,c++/java/golang/python服务端转erlang
1.0,深圳,Python开发工程师
0.9,广州-海珠区,Python开发工程师
1.1,上海-长宁区,Python课程开发/ 授课
1.1,上海-浦东新区,生物信息工程师（python）
1.2,上海,Python开发工程师
1.2,上海-黄浦区,Python开发工程师
1.2,上海-浦东新区,Python工程师
0.8,深圳-福田区,Python程序员 数据挖掘方向
1.7,北京-海淀区,Python开发工程师
1.4,上海-浦东新区,高级Python开发工程师
0.8,广州-天河区,PHP/Python ERP软件开发工程师
1.4,上海-普陀区,Python高级开发工程师
1.7,上海,Python工程师
1.8,深圳-宝安区,Python后台开发工程师
1.9,上海-杨浦区,00518-32-高级Python开发工程师
2.2,上海-闵行区,高级Python/Odoo开发工程师/经理（集团IT）
1.6,北京-海淀区,Python/Go开发工程师-北京-00395
0.9,异地招聘,Python高级工程师
1.7,广州-天河区,高级Python开发工程师（GIS方向）
1.3,北京-延庆区,Python讲师
1.2,上海,Python数据挖掘工程师
0.9,上海-徐汇区,python数据挖掘工程师
1.2,深圳,Python开发工程师
1.2,广州-天河区,Python开发工程师
1.0,上海-静安区,python开发
1.9,深圳-南山区,Python爬虫工程师
2.4,深圳-南山区,高级Python开发工程师（深圳）
1.2,北京-海淀区,python开发工程师
2.6,上海-浦东新区,Python开发工程师
2.1,上海-浦东新区,软件工程师/Python/高级开发工程师
0.9,上海,Python开发工程师
1.0,深圳-福田区,高级软件工程师(Python)
0.9,广州-天河区,Python开发工程师
0.9,北京,Python开发工程师
2.1,深圳-南山区,C++量化开发/python
1.0,上海-虹口区,Python开发工程师
2.2,上海,python工程师
1.7,深圳-龙岗区,PHP+Python软件工程师
1.2,广州-越秀区,python WEB开发工程师
1.1,上海-徐汇区,Python开发工程师
1.2,北京-海淀区,云方向业务部门_Python开发工程师
2.6,北京-朝阳区,Python开发工程师
1.4,深圳,python开发工程师
3.4,上海-长宁区,高级软件工程师（Python）
0.9,上海-浦东新区,Python开发工程师
1.1,深圳-南山区,软件开发工程师(Python数据爬虫)
1.2,深圳-龙华新区,Python 后台工程师
0.8,深圳-罗湖区,Python工程师
1.5,上海-浦东新区,Python高级开发工程师
1.4,上海-浦东新区,Web工程师（Python）
1.4,上海-松江区,Python开发工程师
1.1,广州-天河区,Python工程师
1.4,上海-长宁区,python课程设计
1.8,深圳-龙华新区,深圳市华馨智能科技—Python高级工程师
1.7,上海-长宁区,Python开发工程师
1.2,深圳-南山区,python后台开发工程师
2.4,北京-朝阳区,Python开发工程师
1.2,上海-黄浦区,Python Developer
1.7,上海-浦东新区,测试开发工程师（C++/python）
1.4,广州-天河区,python量化交易
1.9,上海-静安区,Python高级开发工程师
2.1,上海-杨浦区,Python爬虫开发工程师
1.0,北京-海淀区,Python开发工程师
1.4,深圳-南山区,python工程师
1.5,深圳-南山区,python游戏服务端开发工程师
1.4,北京-东城区,Python开发工程师-base北京
1.2,广州-天河区,Python开发工程师
1.7,北京-丰台区,python后端开发工程师
0.9,上海-静安区,Python开发工程师
1.1,上海,Python讲师
1.4,广州-番禺区,云平台 python 开发工程师
1.9,上海-浦东新区,Python开发工程师
1.7,上海-闵行区,Python开发工程师
2.4,北京-朝阳区,python后台研发工程师
1.2,深圳-宝安区,python+postgreSQL 社交商城开发
1.1,广州-白云区,Python工程师（课程研发方向）
1.0,深圳-福田区,Python程序员
2.1,上海-静安区,爬虫工程师(Java/Python)
1.2,广州,python 工程师
1.2,北京,Python工程师
1.1,北京-朝阳区,Python开发工程师
1.7,上海-杨浦区,Python开发
1.2,异地招聘,PHP、Java、Python后台开发工程师
1.4,深圳-南山区,Python高级开发工程师
1.3,广州-天河区,Python 后端开发工程师
1.2,深圳-南山区,Python
1.2,广州,Python后端开发工程师
1.2,深圳-福田区,Python技术工程师
1.7,上海,Python开发工程师
1.0,深圳,Python开发工程师
1.2,广州-天河区,Python开发工程师
1.5,深圳,Python开发工程师
1.2,深圳,"后台开发工程师（Node, Python, Java, Go）"
1.9,深圳-南山区,GO+Python
1.4,深圳-福田区,Python开发工程师
1.5,深圳-福田区,Python开发工程师
1.0,北京,Python开发工程师
1.2,广州-白云区,Python工程师
1.1,广州,Python开发工程师
1.1,深圳-南山区,Python研发工程师
1.4,深圳,Python开发工程师
1.0,上海-闵行区,Python Web开发工程师
1.4,北京,C/C++/python研发工程师
1.1,深圳-南山区,Python开发工程师
1.2,深圳-南山区,Python 工程师
2.4,北京-西城区,量化开发工程师（Java/C++/Python方向）
2.2,北京-丰台区,Python开发工程师
1.1,北京-东城区,Python开发工程师（产品研发）
1.7,上海-浦东新区,Python开发工程师
1.4,深圳-宝安区,Python游戏服务端开发工程师
2.1,上海-徐汇区,Python开发师
1.7,上海,爱尔兰电商咨询外企Python DevOps Engineer
1.2,广州-黄埔区,Python开发工程师
1.7,深圳,系统开发工程师（python）
1.1,广州-天河区,Python开发工程师
2.1,异地招聘,Python开发工程师
0.9,广州-黄埔区,数据分析师（python）
1.4,上海-徐汇区,Python开发工程师
1.2,上海,python后端开发工程师
2.1,上海,Python开发工程师
1.2,上海-浦东新区,python 开发
1.2,北京,Python开发工程师
1.4,深圳-南山区,Python 工程师
2.4,上海,Python开发后端软件工程师
1.5,深圳-宝安区,Python就业指导专员
1.2,北京-顺义区,Python就业指导老师(J10736)
0.9,北京-顺义区,Python  就业指导(J10734)
1.2,上海-杨浦区,Python软件工程师
1.1,北京-海淀区,Python高级软件工程师
1.7,上海-浦东新区,云计算开发工程师(Python)
3.4,上海-浦东新区,Senior Python Developer
1.7,广州,Python开发工程师
1.2,北京,Python开发工程师
1.9,上海-浦东新区,爬虫工程师（Python）
1.4,上海-浦东新区,Python主管工程师
1.7,北京-海淀区,Python开发工程师
1.7,北京-海淀区,Python开发
1.2,深圳-南山区,Python开发工程师
1.2,上海-浦东新区,Python Web开发工程师
1.2,上海-浦东新区,Python高级开发工程师
1.7,深圳-南山区,Python开发工程师
0.9,上海-浦东新区,python研发工程师
1.7,深圳-罗湖区,Python开发工程师（国信证券-乙方）
1.1,深圳-南山区,Python开发工程师
1.4,北京,软件测试工程师（C++、java、python）
1.1,深圳,Python软件开发工程师
1.2,北京-丰台区,Python开发工程师
1.7,上海,python/odoo高级开发工程师
1.3,广州-白云区,Python高级开发工程师
1.2,深圳-福田区,Python/c++
0.6,上海-浦东新区,Python数据开发工程师
2.1,深圳-宝安区,Python讲师
1.0,广州-越秀区,python工程师（大数据平台、运维）
1.4,上海,python自然语言处理工程师
1.2,上海,行情后端Python
2.5,深圳,Python（高级&资深&leader）
1.2,上海-徐汇区,Python开发工程师
0.9,广州-天河区,Python开发工程师
0.8,深圳,Python开发工程师
1.7,北京-朝阳区,后端架构师（Python/Go）
2.1,北京-海淀区,算法工程师（Java/Scala/Python/R方向）
1.3,深圳-福田区,Python开发工程师
1.0,上海-虹口区,Python开发工程师（驻场）
1.4,上海,后端开发工程师（C++/Python/Go）
1.4,深圳,Python开发工程师—新材料促进中心
1.1,异地招聘,Python后端开发工程师
2.1,上海-奉贤区,python讲师
1.6,上海-徐汇区,Python高级开发工程师
1.5,北京-海淀区,业务平台开发（CC++/python）
4.1,北京,Linux C++/Python高级研发工程师
1.3,深圳-南山区,python数据工程师
0.7,广州-番禺区,Python爬虫工程师(双休 7险1金)
0.9,北京,Python测试工程师
0.9,深圳,大数据/python技术支持老师
1.2,北京-海淀区,java开发（会Python优先）
1.7,广州-天河区,手游服务端开发工程师（Python）
2.1,深圳-福田区,Python开发工程师（深圳）
2.2,上海,高级软件工程师-C，python
1.4,北京-朝阳区,Python开发工程师
1.1,北京-海淀区,python爬虫工程师
0.9,上海-宝山区,Python开发工程师
1.5,广州,银行SAS/R/PYTHON数据分析挖掘建模岗
1.1,深圳-南山区,Python开发工程师
